company_id,company_name,website,current_products,contacts,employees,country,category,industries
16d2811e-9cd8-4fbf-b8d5-441eb9cbd24b,LifeTime,lifetime.life,1,100,43000,United States,Sports Nutrition,"health, wellness & fitness; recreational facilities & services"
1a6327ea-03bf-4547-aa0b-aa4470467cba,999,999.com.cn,2,8,21000,China,Medical / Health Nutrition,food production
418a762c-848f-415b-b6d1-c5ddac4d50cd,Pine Brand,www.hayao.com,1,13,11000,China,Supplements,pharmaceuticals
f430f8aa-8007-4627-8866-5cbf033802cf,Holland & Barrett,hollandandbarrett.com,2,100,4700,United Kingdom,Supplements,"health, wellness & fitness"
180570a4-d190-4e3e-8251-0b6146fad430,Organo Gold Int'l Inc.,organogold.com,1,101,4300,United States,Beverage,food & beverages; restaurants
421a6c0f-1146-40c7-baa9-af32f662f21d,hims & hers,hims.com,1,101,2000,United States,Medical / Health Nutrition,"health, wellness & fitness"
38ef63b6-76d0-4b84-bb09-28f081e71c2e,Unicity,unicity.com,2,50,1900,United States,Supplements,"health, wellness & fitness"
0917f2e1-e115-4c5d-a3a5-1d4719ea01b5,Core Power,fairlife.com,1,100,890,United States,Sports Nutrition,food & beverages
b852da5e-5f1f-4966-afb2-e8e0a4fd8f4d,Abbott India Limited,abbott.co.in,1,100,890,India,Medical / Health Nutrition,electrical/electronic manufacturing
ae05fae8-79ca-400f-98a2-cc1d666a5bd3,ATC Healthcare Corp,atchealthcare.com,1,100,850,United States,Supplements,staffing & recruiting
93447fa7-7702-4225-8fc0-9e8b02456919,PharmaCare Laboratories Pty Ltd,pharmacare.com.au,1,101,690,Australia,Supplements,"health, wellness & fitness"
fde746da-d8f0-455d-bc70-a9f9eb7885fc,KoRo,korodrogerie.de,2,100,660,Germany,Functional Food,retail
3acfddaa-fa9b-4ad3-84dc-08301cc8ef09,GT's Alive,gtslivingfoods.com,1,101,530,United States,Beverage,food & beverages
27338c29-5501-43a3-bc1a-40a35048611e,NUTRABOLT(TM),nutrabolt.com,1,100,530,United States,Sports Nutrition,food & beverages; consumer goods
f0f89b14-e160-4450-90a1-151cf39ae035,BODYARMOR,drinkbodyarmor.com,1,99,510,United States,Sports Nutrition,food & beverages
